feature_count,features,model_date_tag,pred_col,removed_count,removed_features,target_col
29,"cash_flow_to_price_ratio,book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_earnings_to_price_ratio,roe_ttm,gross_profit_ttm,operating_profit_to_total_profit,net_operate_cash_flow_per_share,adjusted_profit_to_total_profit,growth,net_working_capital,operating_profit_per_share,total_operating_revenue_per_share,debt_to_equity_ratio,MLEV,momentum,Rank1M,sharpe_ratio_60,Variance20,VOL10,beta,ATR6,MFI14,DAVOL10,VMACD,VOSC,Skewness20,Kurtosis20",20250102,baseline_lgb_score,8,"earnings_yield,roa_ttm,net_operate_cash_flow_to_total_liability,net_operating_cash_flow_coverage,ACCA,debt_to_tangible_equity_ratio,super_quick_ratio,liquidity",alpha_vs_alla
16,"book_to_price_ratio,earnings_yield,cash_flow_to_price_ratio,sales_to_price_ratio,z_roe_ttm,gross_profit_ttm,growth,net_working_capital,momentum,Rank1M,z_sharpe_ratio_60,beta,Variance20,VOL10,VMACD,VOSC",20250102,hybrid_light_lgb_score,28,"board_chinext_flag,board_star_flag,rank_book_to_price_ratio,z_book_to_price_ratio,rank_earnings_yield,z_earnings_yield,rank_cash_flow_to_price_ratio,z_cash_flow_to_price_ratio,rank_roe_ttm,roe_ttm,roa_ttm,rank_growth,z_growth,rank_momentum,z_momentum,rank_Rank1M,z_Rank1M,rank_sharpe_ratio_60,sharpe_ratio_60,rank_beta,z_beta,rank_Variance20,z_Variance20,rank_VOL10,z_VOL10,liquidity,rank_liquidity,z_liquidity",alpha_vs_csi800
5,"book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_flow_to_price_ratio,cash_earnings_to_price_ratio",20250102,group_score_value_cashflow,1,earnings_yield,alpha_vs_alla
8,"roe_ttm,gross_profit_ttm,operating_profit_to_total_profit,net_operate_cash_flow_per_share,net_operating_cash_flow_coverage,adjusted_profit_to_total_profit,operating_profit_per_share,total_operating_revenue_per_share",20250102,group_score_quality_profit,2,"roa_ttm,net_operate_cash_flow_to_total_liability",alpha_vs_alla
5,"growth,net_working_capital,debt_to_equity_ratio,MLEV,ACCA",20250102,group_score_growth_balance,2,"debt_to_tangible_equity_ratio,super_quick_ratio",alpha_vs_alla
7,"momentum,Rank1M,sharpe_ratio_60,Variance20,beta,Skewness20,Kurtosis20",20250102,group_score_momentum_risk,0,,alpha_vs_alla
6,"ATR6,MFI14,DAVOL10,VOL10,VMACD,VOSC",20250102,group_score_technical_volume,1,liquidity,alpha_vs_alla
29,"cash_flow_to_price_ratio,book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_earnings_to_price_ratio,roe_ttm,gross_profit_ttm,operating_profit_to_total_profit,net_operate_cash_flow_per_share,adjusted_profit_to_total_profit,growth,net_working_capital,operating_profit_per_share,total_operating_revenue_per_share,debt_to_equity_ratio,MLEV,momentum,Rank1M,sharpe_ratio_60,Variance20,VOL10,beta,ATR6,MFI14,DAVOL10,VMACD,VOSC,Skewness20,Kurtosis20",20250205,baseline_lgb_score,8,"earnings_yield,roa_ttm,net_operate_cash_flow_to_total_liability,net_operating_cash_flow_coverage,ACCA,debt_to_tangible_equity_ratio,super_quick_ratio,liquidity",alpha_vs_alla
16,"book_to_price_ratio,earnings_yield,cash_flow_to_price_ratio,sales_to_price_ratio,z_roe_ttm,gross_profit_ttm,growth,net_working_capital,momentum,Rank1M,z_sharpe_ratio_60,beta,Variance20,VOL10,VMACD,VOSC",20250205,hybrid_light_lgb_score,28,"board_chinext_flag,board_star_flag,rank_book_to_price_ratio,z_book_to_price_ratio,rank_earnings_yield,z_earnings_yield,rank_cash_flow_to_price_ratio,z_cash_flow_to_price_ratio,rank_roe_ttm,roe_ttm,roa_ttm,rank_growth,z_growth,rank_momentum,z_momentum,rank_Rank1M,z_Rank1M,rank_sharpe_ratio_60,sharpe_ratio_60,rank_beta,z_beta,rank_Variance20,z_Variance20,rank_VOL10,z_VOL10,liquidity,rank_liquidity,z_liquidity",alpha_vs_csi800
5,"book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_flow_to_price_ratio,cash_earnings_to_price_ratio",20250205,group_score_value_cashflow,1,earnings_yield,alpha_vs_alla
