model_family,pred_col,removed_feature_count,target_col,used_feature_count,used_features
raw_v22a_lgb_alpha_vs_alla,baseline_lgb_score,8,alpha_vs_alla,29,"cash_flow_to_price_ratio,book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_earnings_to_price_ratio,roe_ttm,gross_profit_ttm,operating_profit_to_total_profit,net_operate_cash_flow_per_share,adjusted_profit_to_total_profit,growth,net_working_capital,operating_profit_per_share,total_operating_revenue_per_share,debt_to_equity_ratio,MLEV,momentum,Rank1M,sharpe_ratio_60,Variance20,VOL10,beta,ATR6,MFI14,DAVOL10,VMACD,VOSC,Skewness20,Kurtosis20"
hybrid_light_lgb_alpha_vs_csi800,hybrid_light_lgb_score,28,alpha_vs_csi800,16,"book_to_price_ratio,earnings_yield,cash_flow_to_price_ratio,sales_to_price_ratio,z_roe_ttm,gross_profit_ttm,growth,net_working_capital,momentum,Rank1M,z_sharpe_ratio_60,beta,Variance20,VOL10,VMACD,VOSC"
rank_industry_lgb_alpha_vs_csi800,rank_industry_csi800_score,5,alpha_vs_csi800,32,"ind_rank_cash_flow_to_price_ratio,ind_rank_book_to_price_ratio,ind_rank_earnings_yield,ind_rank_sales_to_price_ratio,ind_rank_cash_earnings_to_price_ratio,ind_rank_earnings_to_price_ratio,ind_rank_roa_ttm,ind_rank_gross_profit_ttm,ind_rank_operating_profit_to_total_profit,ind_rank_net_operate_cash_flow_per_share,ind_rank_net_operating_cash_flow_coverage,ind_rank_adjusted_profit_to_total_profit,ind_rank_growth,ind_rank_net_working_capital,ind_rank_operating_profit_per_share,ind_rank_total_operating_revenue_per_share,ind_rank_super_quick_ratio,ind_rank_MLEV,ind_rank_debt_to_equity_ratio,ind_rank_momentum,ind_rank_Rank1M,ind_rank_sharpe_ratio_60,ind_rank_Variance20,ind_rank_VOL10,ind_rank_beta,ind_rank_ATR6,ind_rank_MFI14,ind_rank_DAVOL10,ind_rank_VMACD,ind_rank_VOSC,ind_rank_Skewness20,ind_rank_Kurtosis20"
rank_industry_lgb_alpha_vs_alla,rank_industry_alla_score,5,alpha_vs_alla,32,"ind_rank_cash_flow_to_price_ratio,ind_rank_book_to_price_ratio,ind_rank_earnings_yield,ind_rank_sales_to_price_ratio,ind_rank_cash_earnings_to_price_ratio,ind_rank_earnings_to_price_ratio,ind_rank_roa_ttm,ind_rank_gross_profit_ttm,ind_rank_operating_profit_to_total_profit,ind_rank_net_operate_cash_flow_per_share,ind_rank_net_operating_cash_flow_coverage,ind_rank_adjusted_profit_to_total_profit,ind_rank_growth,ind_rank_net_working_capital,ind_rank_operating_profit_per_share,ind_rank_total_operating_revenue_per_share,ind_rank_super_quick_ratio,ind_rank_MLEV,ind_rank_debt_to_equity_ratio,ind_rank_momentum,ind_rank_Rank1M,ind_rank_sharpe_ratio_60,ind_rank_Variance20,ind_rank_VOL10,ind_rank_beta,ind_rank_ATR6,ind_rank_MFI14,ind_rank_DAVOL10,ind_rank_VMACD,ind_rank_VOSC,ind_rank_Skewness20,ind_rank_Kurtosis20"
factor_group_recall_lgb,group_score_value_cashflow,1,alpha_vs_alla,5,"book_to_price_ratio,earnings_to_price_ratio,sales_to_price_ratio,cash_flow_to_price_ratio,cash_earnings_to_price_ratio"
factor_group_recall_lgb,group_score_quality_profit,2,alpha_vs_alla,8,"roe_ttm,gross_profit_ttm,operating_profit_to_total_profit,net_operate_cash_flow_per_share,net_operating_cash_flow_coverage,adjusted_profit_to_total_profit,operating_profit_per_share,total_operating_revenue_per_share"
factor_group_recall_lgb,group_score_growth_balance,2,alpha_vs_alla,5,"growth,net_working_capital,debt_to_equity_ratio,MLEV,ACCA"
factor_group_recall_lgb,group_score_momentum_risk,0,alpha_vs_alla,7,"momentum,Rank1M,sharpe_ratio_60,Variance20,beta,Skewness20,Kurtosis20"
factor_group_recall_lgb,group_score_technical_volume,1,alpha_vs_alla,6,"ATR6,MFI14,DAVOL10,VOL10,VMACD,VOSC"
recall_rerank_lgb_alpha_vs_alla,recall_rerank_alla_score,8,alpha_vs_alla,41,"ind_rank_cash_flow_to_price_ratio,ind_rank_book_to_price_ratio,ind_rank_earnings_to_price_ratio,ind_rank_sales_to_price_ratio,ind_rank_cash_earnings_to_price_ratio,ind_rank_roe_ttm,ind_rank_gross_profit_ttm,ind_rank_operating_profit_to_total_profit,ind_rank_net_operate_cash_flow_to_total_liability,ind_rank_net_operating_cash_flow_coverage,ind_rank_adjusted_profit_to_total_profit,ind_rank_growth,ind_rank_net_working_capital,ind_rank_operating_profit_per_share,ind_rank_total_operating_revenue_per_share,ind_rank_super_quick_ratio,ind_rank_MLEV,ind_rank_debt_to_equity_ratio,ind_rank_momentum,ind_rank_Rank1M,ind_rank_sharpe_ratio_60,ind_rank_Variance20,ind_rank_VOL10,ind_rank_beta,ind_rank_ATR6,ind_rank_MFI14,ind_rank_DAVOL10,ind_rank_VMACD,ind_rank_VOSC,ind_rank_Skewness20,ind_rank_Kurtosis20,hybrid_rank,manual_rank,risk_rank,group_mean_rank,rank_industry_csi800_rank,group_score_value_cashflow,group_score_quality_profit,group_score_growth_balance,group_score_momentum_risk,group_score_technical_volume"
